transformId;rotation;scale;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Sheep;(0.0, -0.3, 0.0, 0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);f0f8b777-5c2b-4b55-a2a4-db09344cdc31;1;4;4;08.31.2021 19:03:40.274
Sheep;(0.0, -0.2, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);e94f3516-dcaa-4f4c-a4fc-8ca31f50e90f;1;4;4;08.31.2021 19:03:40.318
Sheep;(0.0, -0.1, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);9544a47c-935d-49cc-b328-655c950e4223;1;4;4;08.31.2021 19:03:40.351
Sheep;(0.0, 0.0, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);fdd88483-6fcd-43bb-88d3-5b7109027e39;1;4;4;08.31.2021 19:03:40.384
Sheep;(0.0, 0.0, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);648644b0-af99-4741-bce4-37bd89e9d8fd;1;4;4;08.31.2021 19:03:40.418
Sheep;(0.0, -0.1, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);0f06bba0-34c8-4548-9ebd-28482d39724e;1;4;4;08.31.2021 19:03:40.454
Sheep;(0.0, -0.3, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);bbad6946-0fa6-452c-8b77-d9f956bdfb85;1;4;4;08.31.2021 19:03:40.491
Sheep;(0.0, -0.4, 0.0, -0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);eebcb7c9-932e-4513-a560-3215939a494d;1;4;4;08.31.2021 19:03:40.525
Sheep;(0.0, -0.6, 0.0, -0.8);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);7107939b-3383-4bc3-8ecc-78f4ce2f9bcf;1;4;4;08.31.2021 19:03:40.559
Sheep;(0.0, -0.8, 0.0, -0.6);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);1697bbb0-4293-4bc9-bee1-b786460bd195;1;4;4;08.31.2021 19:03:40.607
Sheep;(0.0, -0.9, 0.0, -0.5);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);fb42ad67-a5fc-4d71-b908-ef5b60f38ddd;1;4;4;08.31.2021 19:03:40.647
Sheep;(0.0, -0.9, 0.0, -0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);e40dfe76-c5bc-4e35-8138-55f1ae14a28c;1;4;4;08.31.2021 19:03:40.680
Sheep;(0.0, -1.0, 0.0, -0.2);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);2cd7c6bb-2d2d-4813-b9e3-e6db5f01676d;1;4;4;08.31.2021 19:03:40.714
Sheep;(0.0, -1.0, 0.0, -0.1);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);89dbf75a-71d8-469a-bf31-489adb305486;1;4;4;08.31.2021 19:03:40.747
Sheep;(0.0, -1.0, 0.0, 0.1);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);13d0ba08-3521-42d4-9bae-207e1b75951a;1;4;4;08.31.2021 19:03:40.780
Sheep;(0.0, -1.0, 0.0, 0.2);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);0f203164-3378-4ff4-bc75-30a19a249968;1;4;4;08.31.2021 19:03:40.814
Sheep;(0.0, -0.9, 0.0, 0.3);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);5e662813-9613-41d5-a178-d9dfb7cc6c4f;1;4;4;08.31.2021 19:03:40.847
Sheep;(0.0, -0.9, 0.0, 0.5);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);660bc425-6451-45bf-8e72-4df271e12c32;1;4;4;08.31.2021 19:03:40.882
Sheep;(0.0, -0.8, 0.0, 0.6);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);8ba40b58-d16c-4a9f-b51b-2135710b44be;1;4;4;08.31.2021 19:03:40.916
Sheep;(0.0, -0.7, 0.0, 0.7);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);ddf9fe87-4f99-4be4-83ec-52771ad82314;1;4;4;08.31.2021 19:03:40.949
Sheep;(0.0, -0.5, 0.0, 0.8);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);7dc01e81-271a-43af-a3d1-aefdedc706c0;1;4;4;08.31.2021 19:03:40.983
Sheep;(0.0, -0.4, 0.0, 0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);969267da-cfdc-4867-aa88-60326d9eb94b;1;4;4;08.31.2021 19:03:41.017
Sheep;(0.0, -0.2, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);7904870c-359c-40ad-87fa-a3ec622feabe;1;4;4;08.31.2021 19:03:41.050
Sheep;(0.0, -0.1, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);c83ddbb5-2a97-417a-959d-57cce2283834;1;4;4;08.31.2021 19:03:41.084
Sheep;(0.0, 0.0, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);bed716c2-b047-4a88-baae-ad72e5c59498;1;4;4;08.31.2021 19:03:41.118
